grade,subject,topic,difficulty,learning_outcome,activity_type,robotics_kit,ai_concept,engineering_skill,assessment_method,duration,materials,career_connection
Grade 1,Engineering,Simple Bridges & Shapes,Beginner,Identify triangles as the strongest structural shape for load-bearing.,Hands-on Build,None,None,Structural Design,Prototype Showcase,45 minutes,"Popsicle sticks, paper cups, glue, pennies for weight",Structural Engineer
Grade 1,Coding,Sequencing & Directional Commands,Beginner,Create a sequential program using arrows to guide an actor to a target.,Unplugged / App Challenge,Sphero Indie,None,System Analysis,Exit Ticket,45 minutes,"Sphero Indie tiles, grid maps, arrow cards",Software Developer
Grade 2,Robotics,Introduction to Gears,Beginner,Understand that gears transfer motion and change force speed.,Hands-on Build,LEGO Spike Essential,None,Mechanical Design,Rubric Evaluation,60 minutes,"LEGO Spike Essential kit, worksheets",Mechanical Engineer
Grade 2,AI,Pattern Recognition in Animals,Beginner,Classify animals based on visual patterns like stripes and spots.,Interactive Sorting,None,Computer Vision,Data Classification,Interactive Game Score,45 minutes,"Classroom tablet, printable animal card sheets",Data Analyst
Grade 3,Robotics,Autonomous Maze Navigation,Beginner,Program a rolling robot to trace a square path autonomously.,Coding Challenge,Sphero Bolt,Sensor Feedback loops,Prototyping,Exit Ticket,60 minutes,"Sphero Bolt, masking tape, rulers, tablet",Robotics Technician
Grade 3,Engineering,Wind-Powered Sails,Beginner,Design a sail shape that maximizes distance traveled using wind power.,Design Project,None,None,Aerodynamic Design,Measurement Table,60 minutes,"Straws, paper, sailcloth, string, household fan",Renewable Energy Consultant
Grade 4,Robotics,Linkages & Motion Transfer,Intermediate,Build a mechanical lever that moves a robot arm up and down.,Hands-on Build,VEX GO,None,Mechanical Design,Rubric Evaluation,90 minutes,"VEX GO kit, building tiles, pins",Automation Engineer
Grade 4,AI,Machine Learning for Kids (Teachable Machine),Beginner,Train an image classifier model using custom hand gestures.,Lab Experiment,None,Machine Learning,Model Training,Quiz,60 minutes,"Webcam, computer, Google Teachable Machine tool",AI Engineer
Grade 5,Coding,Variables and Game Scoreboards,Intermediate,Create variables in Scratch to track and update score metrics.,Coding Challenge,None,None,Logical Thinking,Peer Review,90 minutes,Computer with Scratch 3.0 installed,Game Developer
Grade 5,Robotics,Color Sensor Stop Signals,Intermediate,Program a robot to halt immediately upon detecting a red line boundary.,Coding Challenge,LEGO Spike Essential,Computer Vision Basics,Loop Control Structures,Exit Ticket,60 minutes,"LEGO Spike Essential, color sensors, colored electrical tape",Control Systems Specialist
Grade 6,Robotics,Ultrasonic Distance Detection,Intermediate,Calculate distance from obstacles using ultrasonic echo triggers.,Coding Challenge,LEGO Spike Prime,None,Calibration & Testing,Rubric Evaluation,90 minutes,"LEGO Spike Prime, Ultrasonic distance sensors, laptop",Automotive Systems Engineer
Grade 6,AI,Chatbot Dialogues & Decision Trees,Intermediate,Design a conditional branching flowchart that routes basic chat inputs.,Design Project,None,Natural Language Processing,Branching Algorithms,Peer Review,60 minutes,"Paper flowcharts, Scratch text chatbot tool",UX Researcher
Grade 6,Engineering,Earthquake-Resistant Buildings,Intermediate,Evaluate bracing configurations to stabilize tall models against vibrations.,Design Project,None,None,Structural Design,Prototype Showcase,120 minutes,"Shake table, cardboard, tape, straws, glue, weights",Civil Engineer
Grade 7,Robotics,Robotic Claw Grip strength,Intermediate,Control claw opening and closing angles utilizing servo rotation values.,Hands-on Build,VEX IQ,Feedback Control,Mechanical Prototyping,Measurement Table,90 minutes,"VEX IQ kit, dual servo motors, soft balls for testing",Biomechanical Engineer
Grade 7,Coding,Loops and Iterative Art,Intermediate,Use nested loops to draw repeating geometric designs programmatically.,Coding Challenge,Sphero Bolt,None,Algorithm Design,Exit Ticket,60 minutes,"Sphero Bolt, paint sheets, iPad",Digital Creative Director
Grade 7,AI,Recommender Systems (Filter Bubbles),Intermediate,Trace how likes and history logs formulate recommended content profiles.,Lab Experiment,None,Recommendation Algorithms,Data Flow Tracing,Quiz,60 minutes,"Mock database templates, paper markers",Data Architect
Grade 8,Robotics,Dual-Motor Differential Steering,Intermediate,Configure motors at variable speeds to execute precise zero-radius turns.,Coding Challenge,LEGO Spike Prime,Kinematic Motion,Chassis Control,Performance Test,90 minutes,"LEGO Spike Prime, custom chassis base",Industrial Robotics Engineer
Grade 8,AI,Anonymized Image Datasets,Intermediate,Explain bias issues when training visual models with low representation rates.,Lab Experiment,None,AI Bias & Ethics,Data Preprocessing,Class Debate,60 minutes,"Diverse image print cards, chart paper",AI Ethics Policy Lead
Grade 8,Engineering,Hydro-electric Power Turbines,Advanced,Configure turbine blade pitches to maximize voltage output under active flow.,Lab Experiment,None,None,Fluid Power Design,Rubric Evaluation,120 minutes,"Mini-turbine blades, multimeter, water source",Renewable Systems Architect
Grade 9,Robotics,Microcontroller Input/Output Pins,Intermediate,Connect led anodes to microcontroller output pins and control them with high/low voltages.,Hands-on Build,Arduino Uno,None,Circuit Design,Hardware Review,90 minutes,"Arduino Uno, breadboard, red LEDs, 220-ohm resistors, jumper wires",Electrical Engineer
Grade 9,Coding,Functions & Code Reusability,Intermediate,Implement functional arguments in Python to execute variable-length path scripts.,Coding Challenge,Sphero Bolt,None,Modular Programming,Exit Ticket,90 minutes,"Sphero Bolt, laptop, Python SDK",Systems Programmer
Grade 9,AI,Regression Models in Weather Forecasting,Intermediate,Plot a linear regression line to forecast temperatures from historical logs.,Lab Experiment,None,Linear Regression,Data Plotting,Quiz,90 minutes,"Google Sheets / Colab, csv temperature datasets",Meteorologist & Data Scientist
Grade 10,Robotics,PID Loop Speed Calibration,Advanced,Implement a proportional feedback formula to reduce steering drift in straight lines.,Coding Challenge,VEX V5,Closed-Loop Control,Feedback Systems,Rubric Evaluation,120 minutes,"VEX V5 Clawbot, tracking sensor track, laptop",Guidance & Control Engineer
Grade 10,AI,Neural Network Node Weights,Advanced,Adjust input weight sliders to train a 2-layer classifier manually.,Interactive Simulator,None,Neural Networks,Hyperparameter Tuning,Peer Review,90 minutes,Browser access to TensorFlow Playground,Deep Learning Researcher
Grade 10,Engineering,Cantilever Truss Bridges,Advanced,Construct truss models and compare material deformation thresholds under tension.,Design Project,None,None,Stress/Strain Analysis,Failure Test Table,120 minutes,"Balsa wood, glue, digital force scale, weights",Bridge Design Inspector
Grade 11,Robotics,Active I2C Sensor Interfacing,Advanced,Read register data from an active Gyroscope sensor over standard SDA/SCL channels.,Hands-on Build,Arduino Uno,None,Digital Signal Communication,Hardware Review,120 minutes,"Arduino Uno, MPU-6050 accelerometer, hookup wires",Embedded Systems Engineer
Grade 11,AI,Natural Language Parsing & Sentiment,Advanced,Identify high-sentiment phrases in user reviews using Python string tokenizers.,Coding Challenge,None,Natural Language Processing,Text Preprocessing,Rubric Evaluation,90 minutes,"Laptop, Python environment, text file reviews",NLP Engineer
Grade 12,Robotics,State Machines in Robotics Operations,Advanced,"Structure robotic code utilizing state switches (Idle, Search, Grab, Return).",Coding Challenge,VEX V5,Finite State Machines,Firmware Development,Showcase Verification,120 minutes,"VEX V5 robot, colored blocks, programming environment",Autonomy Engineer
Grade 12,AI,Convolutional Image Classification (CNNs),Advanced,Configure model layers in Python to detect and classify component failures.,Lab Experiment,None,Computer Vision,Deep Learning Design,Report Review,120 minutes,"Google Colab, failure image datasets",Computer Vision Scientist
Grade 12,Engineering,Solar Tracking Arrays,Advanced,Integrate photoresistors with active servo controllers to track maximum light profiles.,Design Project,Arduino Uno,Feedback Control,System Integration,Prototype Showcase,180 minutes,"Arduino Uno, 2 Photoresistors, 1 Servo motor, solar mini-cell, custom mount",Renewable Systems Architect
Grade 1,Robotics,Basic Navigation Loop 1,Beginner,Execute directional loops using block coding paradigms.,Coding Challenge,LEGO Spike Essential,None,Basic Logic,Exit Ticket,45 minutes,"LEGO pieces, laptop",Robotics Tester
Grade 1,AI,Introduction to AI Assistants 1,Beginner,Distinguish between rule-based scripts and learning models.,Unplugged / Discussion,None,Machine Learning,Analytical Thinking,Exit Ticket,60 minutes,"Worksheets, post-its",AI Operations Assistant
Grade 2,Robotics,Basic Navigation Loop 2,Beginner,Execute directional loops using block coding paradigms.,Coding Challenge,LEGO Spike Essential,None,Basic Logic,Exit Ticket,45 minutes,"LEGO pieces, laptop",Robotics Tester
Grade 2,AI,Introduction to AI Assistants 2,Beginner,Distinguish between rule-based scripts and learning models.,Unplugged / Discussion,None,Machine Learning,Analytical Thinking,Exit Ticket,60 minutes,"Worksheets, post-its",AI Operations Assistant
Grade 3,Robotics,Basic Navigation Loop 3,Beginner,Execute directional loops using block coding paradigms.,Coding Challenge,LEGO Spike Essential,None,Basic Logic,Exit Ticket,45 minutes,"LEGO pieces, laptop",Robotics Tester
Grade 3,AI,Introduction to AI Assistants 3,Beginner,Distinguish between rule-based scripts and learning models.,Unplugged / Discussion,None,Machine Learning,Analytical Thinking,Exit Ticket,60 minutes,"Worksheets, post-its",AI Operations Assistant
Grade 4,Robotics,Basic Navigation Loop 4,Beginner,Execute directional loops using block coding paradigms.,Coding Challenge,LEGO Spike Essential,None,Basic Logic,Exit Ticket,45 minutes,"LEGO pieces, laptop",Robotics Tester
Grade 4,AI,Introduction to AI Assistants 4,Beginner,Distinguish between rule-based scripts and learning models.,Unplugged / Discussion,None,Machine Learning,Analytical Thinking,Exit Ticket,60 minutes,"Worksheets, post-its",AI Operations Assistant
Grade 5,Robotics,Sensor Guidance Protocols 5,Intermediate,Incorporate active sensor input thresholds to trigger steering adjustments.,Hands-on Build,VEX IQ,Feedback Control,Prototyping,Rubric Evaluation,90 minutes,"VEX hardware, touch sensor, wires",Firmware Tester
Grade 5,AI,Introduction to AI Assistants 5,Beginner,Distinguish between rule-based scripts and learning models.,Unplugged / Discussion,None,Machine Learning,Analytical Thinking,Exit Ticket,60 minutes,"Worksheets, post-its",AI Operations Assistant
Grade 6,Robotics,Sensor Guidance Protocols 6,Intermediate,Incorporate active sensor input thresholds to trigger steering adjustments.,Hands-on Build,VEX IQ,Feedback Control,Prototyping,Rubric Evaluation,90 minutes,"VEX hardware, touch sensor, wires",Firmware Tester
Grade 6,Coding,Data Structuring & Analysis 6,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 7,Robotics,Sensor Guidance Protocols 7,Intermediate,Incorporate active sensor input thresholds to trigger steering adjustments.,Hands-on Build,VEX IQ,Feedback Control,Prototyping,Rubric Evaluation,90 minutes,"VEX hardware, touch sensor, wires",Firmware Tester
Grade 7,Coding,Data Structuring & Analysis 7,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 8,Robotics,Sensor Guidance Protocols 8,Intermediate,Incorporate active sensor input thresholds to trigger steering adjustments.,Hands-on Build,VEX IQ,Feedback Control,Prototyping,Rubric Evaluation,90 minutes,"VEX hardware, touch sensor, wires",Firmware Tester
Grade 8,Coding,Data Structuring & Analysis 8,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 9,Robotics,Custom Autonomy Nodes 9,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 9,Coding,Data Structuring & Analysis 9,Intermediate,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 10,Robotics,Custom Autonomy Nodes 10,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 10,Coding,Data Structuring & Analysis 10,Advanced,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 11,Robotics,Custom Autonomy Nodes 11,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 11,Coding,Data Structuring & Analysis 11,Advanced,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
Grade 12,Robotics,Custom Autonomy Nodes 12,Advanced,Establish remote control nodes over standard wireless socket networks.,Coding Challenge,Arduino Uno,Autonomous Systems,Digital Signal Communication,Prototype Showcase,120 minutes,"Arduino, Bluetooth module, laptop",Autonomy Engineer
Grade 12,Coding,Data Structuring & Analysis 12,Advanced,Read sensor arrays and plot real-time trend patterns in Python.,Lab Experiment,None,Data Analysis Models,Data Extraction,Report Review,90 minutes,"Laptop, CSV data templates",Data Analyst
